ID_W,DATA,CZAS_T0_UTC,Mw,Lat,Lon
20240304.181224.88,04.03.2024,18:12:24.88,"2,5","50,1029","19,3566"
20240304.194715.82,04.03.2024,19:47:15.82,"2,55","50,1667","18,6306"
20240305.045331.05,05.03.2024,04:53:31.05,"2,53","50,1759","19,3392"
20240305.075940.64,05.03.2024,07:59:40.64,"3,13","50,1653","19,3462"
20240305.102825.95,05.03.2024,10:28:25.95,"2,3","50,2314","18,8469"
20240305.124320.49,05.03.2024,12:43:20.49,"2,29","50,2277","18,8168"
20240306.035803.54,06.03.2024,03:58:03.54,"2,57","50,0656","18,4654"
20240306.142417.62,06.03.2024,14:24:17.62,"2,75","50,1758","19,3399"
20240306.195729.34,06.03.2024,19:57:29.34,"3,06","50,2001","19,0752"
20240307.053516.58,07.03.2024,05:35:16.58,"2,57","50,1029","19,3561"
20240307.210225.88,07.03.2024,21:02:25.88,"2,55","50,1757","19,3391"
20240308.071426.01,08.03.2024,07:14:26.01,"2,37","50,1935","18,8001"
20240309.070119.85,09.03.2024,07:01:19.85,"2,49","50,1931","18,8008"
20240309.113733.95,09.03.2024,11:37:33.95,"3,02","50,1953","18,6916"
20240312.012540.56,12.03.2024,01:25:40.56,"2,58","50,2018","19,0625"
20240312.164255.85,12.03.2024,16:42:55.85,"2,63","50,1934","18,7995"
20240312.184257.83,12.03.2024,18:42:57.83,"2,36","50,1938","18,7992"
20240312.200840.97,12.03.2024,20:08:40.97,"2,42","50,2318","18,8471"
20240312.221940.41,12.03.2024,22:19:40.41,"2,6","50,1022","19,3569"
20240313.025623.73,13.03.2024,02:56:23.73,"2,75","50,1757","19,3408"
20240314.004023.74,14.03.2024,00:40:23.74,"2,83","50,0916","19,2064"
20240314.042814.58,14.03.2024,04:28:14.58,"2,73","50,1758","19,3406"
20240315.003211.80,15.03.2024,00:32:11.80,"3,42","50,2007","19,0753"
20240315.061156.50,15.03.2024,06:11:56.50,"2,66","50,1761","19,3401"
20240315.123627.87,15.03.2024,12:36:27.87,"2,72","50,2008","19,0746"
20240315.195549.26,15.03.2024,19:55:49.26,"2,89","50,1023","19,3577"
20240316.023246.75,16.03.2024,02:32:46.75,"2,5","50,2282","18,8172"
20240316.084611.16,16.03.2024,08:46:11.16,"2,59","50,1759","19,3405"
20240316.094205.79,16.03.2024,09:42:05.79,"2,78","50,1945","18,692"
20240316.122019.89,16.03.2024,12:20:19.89,"2,88","50,2","18,6261"
20240316.144238.94,16.03.2024,14:42:38.94,"2,74","50,1025","19,3558"
20240317.180839.42,17.03.2024,18:08:39.42,"2,47","50,2165","18,784"
20240318.150524.17,18.03.2024,15:05:24.17,"2,59","50,1028","19,3558"
20240318.203644.40,18.03.2024,20:36:44.40,"2,58","50,1758","19,3412"
20240318.235058.12,18.03.2024,23:50:58.12,"2,44","50,1763","19,3398"
20240319.035440.00,19.03.2024,03:54:40.00,"2,37","50,1758","19,3411"
20240319.140214.32,19.03.2024,14:02:14.32,"2,57","50,1027","19,3556"
20240319.230056.65,19.03.2024,23:00:56.65,"2,79","50,176","19,3394"
20240320.022902.70,20.03.2024,02:29:02.70,"2,77","50,2312","18,8471"
20240320.133651.64,20.03.2024,13:36:51.64,"2,67","50,2007","19,0753"
20240320.152412.91,20.03.2024,15:24:12.91,"2,37","50,1762","19,3399"
20240320.193628.79,20.03.2024,19:36:28.79,"2,5","50,1035","19,355"
20240320.225207.52,20.03.2024,22:52:07.52,"2,57","50,1763","19,3394"
20240320.232534.81,20.03.2024,23:25:34.81,"2,82","50,1946","18,6914"
20240321.031605.36,21.03.2024,03:16:05.36,"2,61","50,1028","19,3555"
20240321.041747.92,21.03.2024,04:17:47.92,"2,69","50,0922","19,2072"
20240321.150030.85,21.03.2024,15:00:30.85,"2,7","50,2316","18,8465"
20240321.172254.49,21.03.2024,17:22:54.49,"2,6","50,1761","19,34"
20240321.202558.21,21.03.2024,20:25:58.21,"2,87","50,2282","18,8116"
20240321.220352.53,21.03.2024,22:03:52.53,"2,66","50,104","19,3384"
20240322.124318.18,22.03.2024,12:43:18.18,"3,14","50,2009","19,0756"
20240322.205109.57,22.03.2024,20:51:09.57,"3,19","50,1047","19,3572"
20240322.213322.95,22.03.2024,21:33:22.95,"2,49","50,0921","19,2071"
20240322.230229.60,22.03.2024,23:02:29.60,"2,63","50,1763","19,3402"
20240323.053155.77,23.03.2024,05:31:55.77,"2,77","50,1949","18,6924"
20240324.003139.84,24.03.2024,00:31:39.84,"3,1","50,0911","19,2066"
20240324.032644.07,24.03.2024,03:26:44.07,"2,64","50,2547","18,7424"
20240325.144724.26,25.03.2024,14:47:24.26,"2,79","50,2017","18,6266"
20240325.201931.70,25.03.2024,20:19:31.70,"3,09","50,201","19,0763"
20240325.232341.17,25.03.2024,23:23:41.17,"2,55","50,1763","19,3397"
20240326.040053.51,26.03.2024,04:00:53.51,"3,09","50,2009","19,0746"
20240326.052730.31,26.03.2024,05:27:30.31,"2,57","50,2311","18,8345"
20240326.134011.92,26.03.2024,13:40:11.92,"2,37","50,2313","18,8476"
20240326.144923.86,26.03.2024,14:49:23.86,"3,07","50,2133","18,7173"
20240326.160312.78,26.03.2024,16:03:12.78,"2,74","50,3559","18,8359"
20240326.233515.84,26.03.2024,23:35:15.84,"2,31","50,1764","19,34"
20240327.031438.74,27.03.2024,03:14:38.74,"2,63","50,1762","19,3395"
20240327.175019.17,27.03.2024,17:50:19.17,"2,76","50,201","19,076"
20240328.114414.36,28.03.2024,11:44:14.36,"2,34","50,2312","18,8469"
20240328.160252.46,28.03.2024,16:02:52.46,"2,7","50,1025","19,3553"
20240328.161456.53,28.03.2024,16:14:56.53,"2,7","50,1933","18,7984"
20240328.211020.94,28.03.2024,21:10:20.94,"2,46","50,1763","19,3395"
20240329.030208.19,29.03.2024,03:02:08.19,"2,5","50,1765","19,3396"
20240329.031819.43,29.03.2024,03:18:19.43,"2,64","50,089","19,1982"
20240329.134238.72,29.03.2024,13:42:38.72,"2,66","50,1793","18,6401"
20240329.192426.75,29.03.2024,19:24:26.75,"2,63","50,1804","19,0834"
20240329.230544.17,29.03.2024,23:05:44.17,"3,59","50,2011","19,076"
20240330.091608.97,30.03.2024,09:16:08.97,"2,76","50,1763","19,3398"
20240330.214212.05,30.03.2024,21:42:12.05,"3,02","50,1954","19,124"
20240331.160340.65,31.03.2024,16:03:40.65,"2,45","50,0665","18,4635"
20240402.093038.65,02.04.2024,09:30:38.65,"2,43","50,1765","19,34"
20240402.165406.98,02.04.2024,16:54:06.98,"2,67","50,1763","19,3406"
20240403.003455.87,03.04.2024,00:34:55.87,"2,81","50,1806","19,0818"
20240403.101256.60,03.04.2024,10:12:56.60,"2,58","50,1935","18,7976"
20240403.211528.82,03.04.2024,21:15:28.82,"2,58","50,2278","18,8163"
20240403.212744.10,03.04.2024,21:27:44.10,"2,57","50,1034","19,3544"
20240404.003732.71,04.04.2024,00:37:32.71,"2,64","50,1764","19,3402"
20240404.042236.49,04.04.2024,04:22:36.49,"3,06","50,0922","19,2063"
20240404.151640.85,04.04.2024,15:16:40.85,"2,63","50,1765","19,3398"
20240404.171202.16,04.04.2024,17:12:02.16,"2,57","50,2309","18,848"
20240404.173106.43,04.04.2024,17:31:06.43,"2,99","50,1953","18,6923"
20240404.215742.92,04.04.2024,21:57:42.92,"2,58","50,1764","19,3404"
20240405.011334.47,05.04.2024,01:13:34.47,"2,43","50,0907","19,1988"
20240405.184526.78,05.04.2024,18:45:26.78,"2,69","50,1948","18,695"
20240405.195524.88,05.04.2024,19:55:24.88,"2,23","50,0274","18,5414"
20240405.215657.97,05.04.2024,21:56:57.97,"2,36","50,1766","19,3416"
20240406.013443.75,06.04.2024,01:34:43.75,"2,57","50,1764","19,3404"
20240406.071413.03,06.04.2024,07:14:13.03,"2,31","50,1933","18,7972"
20240408.195624.16,08.04.2024,19:56:24.16,"2,61","50,1024","19,3549"
20240409.034402.29,09.04.2024,03:44:02.29,"2,52","50,1935","18,7971"
20240409.175717.12,09.04.2024,17:57:17.12,"2,45","50,0922","19,2074"
20240410.015739.85,10.04.2024,01:57:39.85,"2,72","50,2015","19,0748"
20240410.064143.54,10.04.2024,06:41:43.54,"2,99","50,2326","18,8694"
20240410.191723.01,10.04.2024,19:17:23.01,"2,42","50,2319","18,8479"
20240410.203516.11,10.04.2024,20:35:16.11,"2,97","50,228","18,8164"
20240411.040024.56,11.04.2024,04:00:24.56,"2,69","50,2013","19,0753"
20240411.165606.64,11.04.2024,16:56:06.64,"2,84","50,0922","19,2066"
20240411.183959.74,11.04.2024,18:39:59.74,"2,55","50,228","18,8186"
20240411.185802.79,11.04.2024,18:58:02.79,"2,9","50,2034","18,6296"
20240411.210028.89,11.04.2024,21:00:28.89,"3,23","50,2014","19,0751"
20240412.014518.68,12.04.2024,01:45:18.68,"2,92","50,1952","18,6923"
20240413.003623.69,13.04.2024,00:36:23.69,"2,65","50,1935","18,797"
20240413.042040.33,13.04.2024,04:20:40.33,"2,47","50,092","19,2077"
20240414.003245.65,14.04.2024,00:32:45.65,"2,56","50,1779","19,3393"
20240414.205724.64,14.04.2024,20:57:24.64,"2,49","50,1939","18,797"
20240414.212454.59,14.04.2024,21:24:54.59,"2,37","50,2015","19,0745"
20240416.083542.26,16.04.2024,08:35:42.26,"2,93","50,0897","19,351"
20240416.122817.49,16.04.2024,12:28:17.49,"2,88","50,1952","18,6947"
20240416.185838.86,16.04.2024,18:58:38.86,"2,02","50,0988","19,3582"
20240416.223444.98,16.04.2024,22:34:44.98,"2,69","50,1935","18,7981"
20240417.034450.81,17.04.2024,03:44:50.81,"2,49","50,1767","19,3406"
20240417.181923.51,17.04.2024,18:19:23.51,"2,83","50,2015","19,0756"
20240417.183541.18,17.04.2024,18:35:41.18,"3,16","50,1958","19,1213"
20240417.195245.97,17.04.2024,19:52:45.97,"2,71","50,1958","18,6929"
20240417.225817.30,17.04.2024,22:58:17.30,"2,78","50,0921","19,2062"
20240418.003813.81,18.04.2024,00:38:13.81,"2,48","50,1765","19,3403"
20240418.042343.68,18.04.2024,04:23:43.68,"2,57","50,1935","18,7963"
20240418.065013.34,18.04.2024,06:50:13.34,"3,09","50,0915","19,2053"
20240418.212615.64,18.04.2024,21:26:15.64,"3,13","50,2009","19,0748"
20240418.231025.50,18.04.2024,23:10:25.50,"2,37","50,0923","19,2071"
20240419.034115.28,19.04.2024,03:41:15.28,"2,3","50,0906","19,1987"
20240419.034540.91,19.04.2024,03:45:40.91,"2,67","50,1766","19,3402"
20240419.204433.71,19.04.2024,20:44:33.71,"2,44","50,193","18,7963"
20240420.080732.18,20.04.2024,08:07:32.18,"2,65","50,1956","18,6939"
20240420.081028.66,20.04.2024,08:10:28.66,"2,5","50,1768","19,3401"
20240420.142559.54,20.04.2024,14:25:59.54,"2,78","50,1821","19,0831"
20240422.222401.10,22.04.2024,22:24:01.10,"2,79","50,0913","19,2065"
20240422.225938.42,22.04.2024,22:59:38.42,"2,69","50,1767","19,3399"
20240423.003702.46,23.04.2024,00:37:02.46,"2,62","50,1764","19,3396"
20240423.093037.28,23.04.2024,09:30:37.28,"2,34","50,1932","18,7965"
20240423.173146.03,23.04.2024,17:31:46.03,"2,49","50,176","19,3416"
20240423.183857.33,23.04.2024,18:38:57.33,"2,98","50,0917","19,2072"
20240423.204215.68,23.04.2024,20:42:15.68,"2,64","50,1768","19,3403"
20240423.233232.58,23.04.2024,23:32:32.58,"2,4","50,2048","18,7898"
20240424.014140.76,24.04.2024,01:41:40.76,"2,46","50,1932","18,7957"
20240424.062132.98,24.04.2024,06:21:32.98,"2,78","50,0926","19,2066"
20240424.235215.98,24.04.2024,23:52:15.98,"2,63","50,2019","19,0763"
20240425.022233.30,25.04.2024,02:22:33.30,"3,11","50,0913","19,2059"
20240425.104237.85,25.04.2024,10:42:37.85,"2,09","50,0834","18,4569"
20240425.223343.62,25.04.2024,22:33:43.62,"2,51","50,1932","18,796"
20240425.231258.34,25.04.2024,23:12:58.34,"2,78","50,1767","19,3402"
20240426.032328.58,26.04.2024,03:23:28.58,"2,63","50,0913","19,2076"
20240426.034329.97,26.04.2024,03:43:29.97,"2,31","50,0916","19,2064"
20240426.143600.53,26.04.2024,14:36:00.53,"2,62","50,2013","19,0766"
20240426.151558.96,26.04.2024,15:15:58.96,"2,65","50,0916","19,2064"
20240426.152706.17,26.04.2024,15:27:06.17,"2,84","50,2008","19,0746"
20240426.154016.42,26.04.2024,15:40:16.42,"2,68","50,1819","19,0829"
20240426.183458.22,26.04.2024,18:34:58.22,"2,66","50,1683","18,6322"
